INST_TYPE,CERT,NAME,CITY,STALP,ZIP,ADDRESS,n_signals,score,signals,FT_STATES,FT_ACTIVITIES,FT_BRANCHES,FT_DBA,FT_KNOWN,FT_FILED,ft_state_verified,FT_STATE_LICENSES
Fintech,90003929,"Chime Payments, Inc.",San Francisco,CA,94111,101 California Street Suite 500,3,140,ft_national; ft_recent_filing; ft_state_verified,51,Money transmitter,0,,True,2025-10-31,True,FL; NC
Fintech,90005405,Dpayments Llc,Miami,FL,33131,"100 Se 2Nd St, Suite 3800",3,140,ft_national; ft_recent_filing; ft_state_verified,51,Money transmitter,0,"Deel (Certain Jurisdictions), Deel.Com (Certain Jurisdictions)",True,2026-08-07,True,FL; MA
Fintech,90006757,Expensify Payments Llc,Portland,OR,97204,401 Sw 5Th Ave.,3,140,ft_national; ft_recent_filing; ft_state_verified,51,Money transmitter,0,,True,2026-08-12,True,FL; MS
Fintech,90007113,Fireblocks Llc,Boston,MA,'02110,"101 Federal Street, Suite 1900",3,140,ft_national; ft_recent_filing; ft_state_verified,51,Money transmitter,0,Fireblocks Payments Services,True,2026-05-05,True,FL
Fintech,90012613,Melio Solutions Inc.,New York,NY,10003,124 East 14Th Street 15Th Floor,3,140,ft_national; ft_recent_filing; ft_state_verified,51,Money transmitter,0,,True,2025-12-12,True,FL
Fintech,90016544,"Rippling Payments, Inc.",San Francisco,CA,94104,"430 California Street, Fl 11",3,140,ft_national; ft_recent_filing; ft_state_verified,51,Money transmitter,0,,True,2025-10-16,True,FL; MS; NC
Fintech,90016632,"Robinhood Crypto, Llc",Menlo Park,CA,94025,85 Willow Rd,3,140,ft_national; ft_recent_filing; ft_state_verified,51,Money transmitter,0,,True,2026-05-06,True,FL
Fintech,90018670,Tabapay Payment Services Llc,Palo Alto,CA,94306,450 Cambridge Ave.,3,140,ft_national; ft_recent_filing; ft_state_verified,51,Money transmitter,0,,True,2026-03-19,True,AK; FL; MA; NC
Fintech,90020812,Visa Global Services Inc.,Foster City,CA,94404,"900 Metro Center Blvd, Mail Stop 1Z",3,140,ft_national; ft_recent_filing; ft_state_verified,51,Money transmitter,0,Currencycloud,True,2026-08-21,True,FL; MA; MS
Fintech,90021613,"Zap Solutions, Inc.",Chicago,IL,60601,"200 North Lasalle Street, Suite 2360",3,140,ft_national; ft_recent_filing; ft_state_verified,51,Money transmitter,0,Strike,True,2026-01-17,True,FL; MA
Fintech,90002539,Bitgo Technologies Llc,Sioux Falls,SD,57103,"101 S. Reid St, Suite 307, Office #9793",3,140,ft_national; ft_recent_filing; ft_state_verified,50,Money transmitter,0,,True,2026-08-03,True,FL
Fintech,90015106,"Pangea Usa, Llc",Chicago,IL,60604,175 W Jackson Blvs Ste 600,3,140,ft_national; ft_recent_filing; ft_state_verified,50,Money transmitter,0,"Pangea; Pangea Money Transfer; Cebuana Lhuillier Quikz, Powered By Pangea; Cebuana Lhuillier Quikz",True,2025-12-18,True,AK; FL
Fintech,90015271,"Payward Interactive, Inc.",Cheyenne,WY,82001,"106 E. Lincolnway, Fourth Floor",3,140,ft_national; ft_recent_filing; ft_state_verified,49,Money transmitter,0,Kraken,True,2026-08-11,True,FL; MS
Fintech,90002952,Brex Payments Llc,Salt Lake City,UT,84101,"650 S 500 W., Suite 300",3,140,ft_national; ft_recent_filing; ft_state_verified,45,Money transmitter,0,,True,2026-07-29,True,FL
Fintech,90002731,"Blockchain.Com, Inc",Dallas,TX,75219,"3500 Maple Ave, Suite 1550",3,140,ft_national; ft_recent_filing; ft_state_verified,44,Money transmitter,0,,True,2025-11-14,True,FL; NC
Fintech,90014548,Nuvei Us Llc,Scottsdale,AZ,85257,"1375 North Scottsdale Road, Suite 400",3,140,ft_national; ft_recent_filing; ft_state_verified,40,Money transmitter,0,,True,2026-03-12,True,FL; NC
Fintech,90016388,"Remitly Labs, Inc.",Seattle,WA,98101,"401 Union Street, Suite 1000",3,140,ft_prepaid; ft_fullstack; ft_recent_filing,1,Money transmitter; Provider of prepaid access,0,,True,2026-01-20,False,
Fintech,90020186,Uphold Digital Assets Us Inc.,New York,NY,10017,"529 5Th Avenue, Suite 900",3,140,ft_prepaid; ft_fullstack; ft_recent_filing,1,Money transmitter; Provider of prepaid access,0,Uphold,True,2026-06-04,False,
Fintech,90007323,Fortress Trust Llc,Las Vegas,NV,89135,"10845 Griffith Peak Dr., Ste 200A",2,136,ft_national; ft_stale_registration,41,Money transmitter,0,,True,2024-01-30,False,
Fintech,90018178,"Standard Custody & Trust Company, Llc",New York,NY,10011,"111 West 19Th Street, 6Th Floor",3,136,ft_multistate; ft_recent_filing; ft_state_verified,16,Money transmitter,0,Ripple Custody & Trust Co.,True,2025-12-05,True,MS
Fintech,90002083,"Bakkt Crypto Solutions, Llc",New York,NY,10006,"Convene One Liberty Plaza, 1 Liberty St., Ste. 305 & 306",2,132,ft_national; ft_state_verified,51,Money transmitter,0,,True,2025-08-15,True,MS
Fintech,90002592,"Bitpay, Inc.",Alpharetta,GA,30022,"10400 Old Alabama Rd Connector, Suite 400",2,132,ft_national; ft_state_verified,51,Money transmitter,0,,True,2025-07-23,True,AK; FL; MA; NC
Fintech,90008385,"Gusto, Inc.",San Francisco,CA,94107,525 20Th Street,2,132,ft_national; ft_state_verified,51,Money transmitter,0,Gusto,True,2024-11-14,True,FL
Fintech,90013418,"Moneygram Payment Systems, Inc.",Minneapolis,MN,55416,"1550 Utica Avenue South, Suite 100",2,132,ft_national; ft_state_verified,51,Issuer of money orders; Seller of money orders; Money transmitter,1,Moneygram,True,2024-12-11,True,FL; MA; MS; NC
Fintech,90016542,Ripple Markets De Llc,San Francisco,CA,94111,600 Battery Street,2,132,ft_national; ft_state_verified,51,Money transmitter,0,,True,2024-12-03,True,FL; MS
Fintech,90004014,"Circle Internet Financial, Llc",Boston,MA,'02111,"1 Lincoln Street, Suite 31-113",2,132,ft_national; ft_state_verified,50,Money transmitter,0,,True,2024-12-19,True,FL; MA; MS; NC
Fintech,90004218,Coinme Inc.,Seattle,WA,98104,"255 S King St, Suite 800",2,132,ft_national; ft_state_verified,50,Money transmitter,0,Coinme,True,2025-08-07,True,FL; NC
Fintech,90000762,"Airwallex Us, Llc",San Francisco,CA,94105,"188 Spear Street, 9Th Floor",2,132,ft_national; ft_state_verified,49,Money transmitter,0,,True,2024-12-20,True,FL; NC
Fintech,90007114,"Fireblocks Trust Company, Llc",New York,NY,10001,"5 Pennsylvania Plaza, 23Rd Floor",2,128,ft_national; ft_recent_filing,51,Money transmitter,0,,True,2025-12-19,False,
Fintech,90008751,"Highnote Payments, Inc.",San Francisco,CA,94104,"350 Bush Street, 19Th Floor",2,128,ft_national; ft_recent_filing,51,Money transmitter,0,,True,2026-02-18,False,
Fintech,90016226,Rapyd Financial Technology Us Inc,Coral Gables,FL,33133,237 S Dixie Hwy Suite 436,2,128,ft_national; ft_recent_filing,51,Money transmitter,0,,True,2025-12-22,False,
Fintech,90017549,"Sezzle Holdings Iv, Inc.",Minneapolis,MN,55402,"700 Nicollet Mall, Suite 640",2,128,ft_national; ft_recent_filing,51,Money transmitter,0,,True,2026-06-04,False,
Fintech,90015270,"Payward Financial, Inc. Dba Kraken Financial",Cheyenne,WY,82001,106 E. Lincolnway; 4Th Floor,1,120,ft_national,51,Money transmitter,0,Kraken Financial,True,2024-12-09,False,
Fintech,90021232,Worldremit (New Zealand) Limited,Boston,MA,'02134,"100 Hano St., Ste. 9",1,120,ft_national,51,Money transmitter,0,,True,2025-06-17,False,
Fintech,90002540,"Bitgo Trust Company, Inc.",Sioux Falls,SD,57108,"6216 Pinnacle Place, Suite #101",1,120,ft_national,48,Money transmitter,0,"Bitgo; Bitgo Financial Services, Inc.",True,2025-02-07,False,
Fintech,90005270,Dlocal Opco Us Inc.,San Francisco,CA,94103,981 Mission Street,1,108,ft_recent_filing,3,Money transmitter,0,,True,2026-08-14,False,
Fintech,90016543,Ripple Markets Wy Llc,Cheyenne,WY,82001,1821 Logan Ave,1,108,ft_recent_filing,2,Money transmitter,0,,True,2025-12-04,False,
Fintech,90004292,Colis/Juan,Henderson,TX,75652,103 Hwy 64,1,108,ft_recent_filing,1,Check casher; Money transmitter,2,Dba Panaderia El Buen Gusto,True,2026-06-30,False,
Fintech,90008206,"Green Dot Unlimited, Inc.",Los Angeles,CA,90037,4018 Broadway Pl,1,108,ft_recent_filing,1,Seller of money orders; Check casher; Money transmitter,0,Broadway Market & Liquor,True,2026-01-28,False,
Fintech,90008384,Gusto Express Llc,Waco,TX,76711,1513 S Valley Mills Dr,1,108,ft_recent_filing,1,Seller of money orders; Money transmitter,0,Gusto Express,True,2026-01-05,False,
Fintech,90017182,Sanechez Velazquez/Jorge,Burnesville,NC,28714,1073 E Us Highway 19E,1,108,ft_recent_filing,1,Check casher; Money transmitter,0,Musica Latina Mi Gusto Es,True,2025-09-25,False,
Fintech,90001186,"American Express Travel Related Services Company,",New York,NY,10285,200 Vesey Street,6,86,ft_national; ft_prepaid; ft_fullstack; ft_fx_crypto; ft_recent_filing; ft_state_verified,51,Money transmitter; Seller of prepaid access; Provider of prepaid access; Dealer in foreign exchange,0,,False,2025-10-16,True,FL; MA; MS; NC
Fintech,90002597,Bitq Technologies Llc,Dover,DE,19901,8 The Green #5955,6,86,ft_national; ft_prepaid; ft_fullstack; ft_fx_crypto; ft_recent_filing; ft_state_verified,51,Issuer of traveler's checks; Seller of traveler's checks; Issuer of money orders; Seller of money orders; Check casher; Money transmitter; Seller of prepaid access; Dealer in foreign exchange,0,,False,2026-07-28,True,FL
Fintech,90015268,"Paytm Technologies Co., Inc",Colorado Springs,CO,80903,"102 S Tejon St Downtown, Suite 1100",6,86,ft_national; ft_prepaid; ft_fullstack; ft_fx_crypto; ft_recent_filing; ft_state_verified,51,Issuer of traveler's checks; Seller of traveler's checks; Issuer of money orders; Seller of money orders; Check casher; Money transmitter; Seller of prepaid access; Dealer in foreign exchange,0,,False,2025-09-05,True,FL
Fintech,90016297,Realnet Payments Llc,Cincinnati,OH,45249,8500 Governors Hill Dr,6,86,ft_national; ft_prepaid; ft_fullstack; ft_fx_crypto; ft_recent_filing; ft_state_verified,51,Money transmitter; Seller of prepaid access; Provider of prepaid access; Dealer in foreign exchange,0,,False,2025-12-08,True,FL; NC
Fintech,90018666,"System Pay Services (Us), Inc.",San Francisco,CA,94158,"365 Toni Stone Xing, Floor 3",6,86,ft_national; ft_prepaid; ft_fullstack; ft_fx_crypto; ft_recent_filing; ft_state_verified,51,Money transmitter; Seller of prepaid access; Dealer in foreign exchange,0,,False,2025-12-23,True,FL; NC
