CERT,ASSET_slope,EQV_slope,RBC1AAJ_slope,NCLNLSR_slope,NPERFV_slope,EEFFR_slope,ROA_slope,LNLSDEPR_slope,EQV_d2y,ROA_d2y,asset_yoy,asset_accel,runway_q,cur_asset,n_quarters,cre_g36,capital_building,credit_turning,growth_accelerating,runway_to_10b,margin_eroding,cre_growth_36m
223,,,,,,,,,,,,,,42797.0,4,,False,False,False,False,False,False
225,,,,,,,,,,,,,,42745.0,5,,False,False,False,False,False,False
226,18866.602,-0.203,0.2,0.073,0.042,3.117,-0.168,3.647,0.834,0.676,0.017,-0.033,837.506,285084.0,20,0.689,False,False,False,False,True,True
228,89746.773,-0.114,-0.158,-0.072,-0.048,-0.563,-0.1,2.604,0.703,0.239,0.003,-0.039,2846.85,1458577.0,20,0.061,False,False,False,False,False,False
230,2904.099,-0.155,0.578,0.08,0.123,2.617,-0.084,1.192,0.5,-0.136,0.055,0.086,252.597,341487.0,20,-0.096,False,False,False,False,False,False
231,22162.274,0.256,0.125,-0.018,0.0,-1.402,0.05,5.613,2.025,1.109,0.038,-0.058,363.13,333471.0,20,1.975,False,False,False,False,False,True
232,-631.125,0.64,1.016,0.32,0.586,-1.06,0.102,9.003,3.917,0.904,-0.012,-0.019,,126731.0,20,0.714,True,True,False,False,False,True
234,3577.134,0.297,0.495,0.055,0.017,-0.045,-0.003,1.379,0.434,0.5,0.04,-0.009,449.259,127362.0,20,-0.644,False,False,False,False,False,False
235,49019.792,-0.088,-0.053,-0.085,-0.07,-2.022,-0.021,7.014,1.14,1.02,0.061,-0.091,203.03,485282.0,20,0.065,False,False,False,False,False,False
245,23365.395,0.185,0.189,0.273,0.242,1.914,-0.118,1.399,0.724,0.671,0.048,0.027,255.423,489908.0,20,0.267,False,True,False,False,False,False
248,22585.838,-0.432,-0.303,0.065,0.045,-1.66,-0.006,5.263,-2.23,-0.09,0.331,0.257,47.766,327517.0,20,0.251,False,False,True,False,False,False
251,-3611.35,0.295,0.079,-0.001,-0.0,2.226,-0.15,1.479,2.958,1.519,-0.002,0.121,,67625.0,20,0.503,False,False,False,False,False,True
252,10261.203,-0.706,-0.3,-0.004,0.016,3.707,-0.152,0.771,-0.962,0.11,0.031,0.035,454.859,313267.0,20,0.101,False,False,False,False,True,False
253,52403.805,-0.002,0.124,-0.002,-0.002,0.692,-0.145,2.739,0.834,0.126,0.052,0.041,120.228,2198462.0,20,0.158,False,False,False,False,False,False
254,6143.266,0.253,0.401,0.0,0.0,2.325,-0.1,0.68,1.764,0.453,0.026,0.004,540.782,299020.0,20,0.561,False,False,False,False,False,True
256,,,,,,,,,,,,,,93662.0,1,,False,False,False,False,False,False
258,659181.167,0.334,0.312,0.002,-0.012,-2.918,0.139,4.238,0.837,0.262,0.052,-0.057,4.427,9457499.0,20,0.476,False,False,False,True,False,False
262,20000.379,-0.519,-0.54,0.183,0.163,0.023,-0.047,1.013,-0.378,0.685,0.068,-0.095,222.566,253307.0,20,0.272,False,True,False,False,False,False
267,12885.708,-0.111,-0.114,-0.03,-0.011,2.876,-0.107,-0.309,-1.876,0.255,0.041,-0.081,339.498,319587.0,20,0.011,False,False,False,False,True,False
275,42741.756,0.006,-0.012,0.073,0.061,-0.265,-0.026,3.731,1.817,0.279,0.104,-0.068,126.175,434974.0,20,1.509,False,False,False,False,False,True
281,-197.486,-0.377,0.055,-0.082,-0.032,1.105,-0.031,1.888,1.91,0.625,-0.002,0.003,,144342.0,20,0.155,False,False,False,False,False,False
284,10334.923,-0.072,0.016,-0.061,-0.036,0.677,-0.066,2.544,1.262,0.124,0.108,0.068,162.279,154764.0,20,0.26,False,False,True,False,False,False
