SRC_STATE,COMPANY,ADDRESS,CITY,STALP,ZIP
FL,BAM TRADING SERVICES INC.,252 NW 29TH STREET,MIAMI,FL,33127
FL,"BAN TRANSFER, INCORPORATED",8200 NW 41ST ST FLOOR 2,MIAMI,FL,33166
FL,BANYON F.S. INC,5829 HOLLYWOOD BLVD,HOLLYWOOD,FL,33021
FL,"BARRI MONEY SERVICES, LLC",10777 WESTHEIMER RD,HOUSTON,TX,77042
FL,BASCO ENTERPRISES INC,1201 E 142ND AVE,TAMPA,FL,33613
FL,BASTION PLATFORMS US LLC,"216 BOWERY, 5TH FLOOR",NEW YORK,NY,10012
FL,BB TRADE FLORIDA INC.,2000S DIXIE HWY #110,MIAMI,FL,33133
FL,BEESO CORP,2626 E. 82ND ST.,BLOOMINGTON,MN,55425
FL,BELMAN ENTERPRISES INC,1600 N. FEDERAL HWY,BOYNTON BEACH,FL,33435
FL,BENDIX PAYMENT SOLUTIONS LLC,"317 GEORGE ST, STE 209",NEW BRUNSWICK,NJ,08901
FL,BEST OPTION MIAMI LLC,3395 NW 32 AVENUE,MIAMI,FL,33142
FL,BETHEL MULTI SERVICES INC,455 WEST SILVER STAR RD,OCOEE,FL,34761
FL,"BETRLINK, LLC",250 BROADWAY,NEW YORK,NY,10007
FL,BHRAMANI CORPORATION,2005 W MAIN ST,LEESBURG,FL,34748
FL,BHUWNASHVARI INC,4469 MORRISON AVE,LAKE WORTH,FL,33463-6939
FL,BIG APPLE FINANCE LLC,48 APPLE HILL DR.,CORTLANDT MANOR,NY,10567
FL,"BILL.COM, LLC",6220 AMERICA CENTER DRIVE,SAN JOSE,CA,95002
FL,"BILLGO MT, INC.",3003 E. HARMONY RD.,FORT COLLINS,CO,80528
FL,BILT PAYMENTS LLC,31 BOND STREET,NEW YORK,NY,10012
FL,BISMILLAH MANAGEMENT SERVICES 2 LLC,4120 NW 21ST STREET,LAUDERHILL,FL,33313
FL,"BITFLYER USA, INC.","548 MARKET ST, #25696",SAN FRANCISCO,CA,94104
FL,BITGO TECHNOLOGIES LLC,2443 ASH STREET,PALO ALTO,CA,94306
FL,"BITPAY, INC.",10400 OLD ALABAMA RD CONNECTOR,ALPHARETTA,GA,30022
FL,"BITRAIL, LLC",1240 TANGELO TERRACE,DELRAY BEACH,FL,33444
FL,"BITSTAMP USA, INC.",85 WILLOW ROAD,MENLO PARK,CA,94025
FL,BIVO INC.,14551 LA RINCONADA DRIVE,LOS GATOS,CA,95032
FL,"BLACKHAWK NETWORK CALIFORNIA, INC.",6220 STONERIDGE MALL ROAD,PLEASANTON,CA,94588
FL,"BLOCK, INC.",1955 BROADWAY,OAKLAND,CA,94612
FL,"BLOCKCHAIN.COM, INC.",3500 MAPLE AVE,DALLAS,TX,75219
FL,BMI FINANCIAL SERVICES INC,2531- A  WEST SAMPLE ROAD,DEERFIELD BCH,FL,33073
FL,BNXA USA MTL INC.,1 EAST LIBERTY STREET,RENO,NV,89501
FL,BOCA RATON MARKET INC,162 NW 51ST STREET,BOCA RATON,FL,33431
FL,BONNIE FAMILY LLC,9860 W. BOYNTON BEACH BLVD,BOYNTON BEACH,FL,33437
FL,BOOKING HOLDINGS FINANCIAL SERVICES USA LLC,3201 OLYMPUS BLVD.,COPPELL,TX,75019
FL,BRALE INC.,"1301 LOCUST STREET, SUITE C",DES MOINES,IA,50309
FL,BRANFORD MART INC,403 US HWY 27 SW,BRANFORD,FL,32008
FL,BRAZJET EXPRESS INC.,577 E SAMPLE RD,POMPANO BEACH,FL,33064
FL,BREX PAYMENTS LLC,650 S 500 W.,SALT LAKE CITY,UT,84101
FL,BRIDGE BUILDING INC.,2120 UNIVERSITY AVENUE,BERKELEY,CA,94704
FL,BRINK'S INCORPORATED,555 DIVIDEND DR,COPPELL,TX,75019-4963
FL,BROADWAY BP PETROLEUM INC,4415 BROADWAY AVENUE,WEST PALM BEACH,FL,33407
FL,BROWARD USA GROUP INC,3306 W BROWARD BLVD,FT LAUDERDALE,FL,33312
FL,"BUCKEYE CHECK CASHING OF FLORIDA, INC.","6785 BOBCAT WAY, SUITE 200",DUBLIN,OH,43016
