INST_TYPE,CERT,NAME,CITY,STALP,ZIP,ADDRESS,asset_band,asset_musd,n_signals,score,signals,NW_RATIO,NW_RATIO_pct,DELINQ,NCO,LOAN_TO_SHARE,ROA,ROA_pct,EXP_RATIO,MEMBERS,asset_growth_yoy
Credit Union,7840,Truliant,Winston Salem,NC,27114-6000,Po Box 26000,$3B+,5615.2,3,49,credit_deterioration; weak_efficiency; credit_turning,10.186,0.379,0.901,2.623,93.692,2.443,0.763,7.772,328760,0.091
Credit Union,1367,University,Austin,TX,78766,Po Box 9350,$3B+,4269.3,4,54,credit_deterioration; weak_efficiency; credit_turning; capital_building,9.534,0.231,1.106,2.348,85.719,1.532,0.396,9.082,429865,0.024
Credit Union,68712,Valley Strong,Bakersfield,CA,93389-9506,P.O. Box 9506,$3B+,4084.6,3,49,credit_deterioration; weak_efficiency; credit_turning,9.271,0.178,1.936,1.564,79.19,1.531,0.391,7.4,240116,0.037
Credit Union,65644,Rivermark Community,Oregon City,OR,97045,14405 Meyers Rd,$3B+,3258.9,4,54,credit_deterioration; weak_efficiency; credit_turning; capital_building,10.775,0.515,1.722,4.24,77.003,1.445,0.331,7.896,176438,0.008
Credit Union,24979,Bayport,Newport News,VA,23606,"1 Bayport Way, Suite 350",$1B-$3B,2780.8,2,33,credit_deterioration; weak_efficiency,11.259,0.568,0.709,2.007,93.967,2.185,0.768,7.981,157891,
Credit Union,24969,Altura,Riverside,CA,92507-0906,2847 Campus Pkwy,$1B-$3B,2645.9,3,38,credit_deterioration; weak_efficiency; capital_building,11.174,0.555,0.646,2.182,75.047,1.412,0.432,8.698,219377,0.035
Credit Union,68228,Greater Nevada,Carson City,NV,89701,451 Eagle Station Ln,$1B-$3B,1681.6,3,49,credit_deterioration; weak_efficiency; credit_turning,3.502,0.003,3.98,2.76,81.475,1.478,0.465,8.39,89649,-0.027
Credit Union,24917,Cobalt,Papillion,NE,68046,7148 Towne Center Pkwy,$1B-$3B,1330.8,3,49,credit_deterioration; weak_efficiency; credit_turning,9.15,0.135,0.8,2.008,94.651,1.749,0.606,8.509,115139,0.008
Credit Union,68710,Sunmark,Albany,NY,12212-6370,Po Box 16370,$1B-$3B,1209.6,3,49,credit_deterioration; weak_efficiency; credit_turning,9.354,0.161,1.366,1.031,85.071,1.622,0.555,8.776,89171,0.023
Credit Union,64084,Mazuma,Overland Park,KS,66223,7260 W 135Th St,$1B-$3B,1070.2,3,49,credit_deterioration; weak_efficiency; credit_turning,10.642,0.458,1.378,2.074,90.168,2.051,0.732,8.359,75452,0.052
Credit Union,61365,4front,Traverse City,MI,49685,Po Box 795,$1B-$3B,1037.8,3,49,credit_deterioration; weak_efficiency; credit_turning,10.154,0.345,1.727,0.866,80.802,1.21,0.345,10.961,103869,0.013
Credit Union,68718,True Community,Jackson,MI,49202-2060,1100 Clinton Rd,$250M-$1B,955.0,3,49,credit_deterioration; weak_efficiency; credit_turning,11.586,0.65,1.586,2.396,86.664,2.179,0.721,10.185,82329,0.039
Credit Union,9759,Fortera,Clarksville,TN,37040-1620,2050 Lowes Dr,$250M-$1B,946.7,2,33,credit_deterioration; weak_efficiency,12.694,0.771,0.654,1.953,89.955,2.935,0.907,9.065,84582,0.048
Credit Union,62076,Members First,Midland,MI,48641-2165,Po Box 2165,$250M-$1B,905.4,3,49,credit_deterioration; weak_efficiency; credit_turning,9.214,0.239,0.652,2.122,82.613,1.433,0.482,9.576,67906,0.025
Credit Union,67465,Texas Bay,Houston,TX,77034,12611 Fuqua St,$250M-$1B,905.0,2,33,credit_deterioration; weak_efficiency,7.488,0.029,0.546,2.149,93.149,0.546,0.154,9.094,59863,0.036
Credit Union,63532,Atomic,Piketon,OH,45661,711 Beaver Creek Rd,$250M-$1B,855.4,2,33,weak_efficiency; rapid_growth,8.271,0.086,0.238,0.824,92.062,1.696,0.586,10.201,89256,0.113
Credit Union,68376,Frontier,Idaho Falls,ID,83403,Po Box 1865,$250M-$1B,821.6,4,65,weak_efficiency; rapid_growth; growth_accelerating; credit_turning,8.064,0.071,0.596,1.239,93.956,1.031,0.318,8.766,53628,0.128
Credit Union,68608,Texell,Temple,TX,76503,Po Box 983,$250M-$1B,801.0,2,33,credit_deterioration; weak_efficiency,10.481,0.489,0.597,1.988,89.549,2.63,0.846,9.378,53988,0.046
Credit Union,61759,Alliance Catholic,Farmington Hill,MI,48334,28800 Orchard Lake Rd,$250M-$1B,718.5,4,54,weak_efficiency; rapid_growth; growth_accelerating; capital_building,12.39,0.754,0.357,0.447,77.262,1.986,0.671,8.484,32841,0.115
Credit Union,62573,Rio Grande,Albuquerque,NM,87102-1478,1121 4Th St Nw,$250M-$1B,666.0,3,49,credit_deterioration; weak_efficiency; credit_turning,9.058,0.193,0.857,2.655,71.065,0.967,0.293,8.753,51348,0.005
Credit Union,60936,Adventure,Grand Rapids,MI,49518,P.O. Box 895,$250M-$1B,645.9,2,33,weak_efficiency; near_500m_audit,11.495,0.629,0.729,1.426,80.19,0.736,0.225,9.446,42876,0.007
Credit Union,20623,Johns Hopkins,Baltimore,MD,21224-5732,1501 S Clinton St Ste 1200,$250M-$1B,637.3,3,38,weak_efficiency; near_500m_audit; capital_building,12.697,0.775,0.649,0.677,62.544,1.301,0.443,8.976,46276,-0.0
Credit Union,8486,Town & Country,South Portland,ME,04116,Po Box 9420,$250M-$1B,621.2,2,33,weak_efficiency; near_500m_audit,8.494,0.118,0.349,0.35,90.965,0.673,0.196,8.865,38666,0.009
Credit Union,97084,Dupage,Naperville,IL,60567,P.O. Box 3930,$250M-$1B,600.2,3,38,weak_efficiency; near_500m_audit; capital_building,9.621,0.304,0.477,0.782,90.033,0.769,0.239,9.704,49845,0.054
Credit Union,63268,Ascentra,Bettendorf,IA,52722,Po Box 1107,$250M-$1B,596.0,3,49,weak_efficiency; near_500m_audit; credit_turning,10.159,0.425,0.76,0.951,81.778,1.061,0.343,10.549,43026,0.043
Credit Union,61068,People Driven,Southfield,MI,48033-6041,24333 Lahser Rd,$250M-$1B,520.0,3,49,weak_efficiency; near_500m_audit; credit_turning,10.06,0.407,0.573,1.408,86.753,1.432,0.475,8.914,25314,0.055
Credit Union,24927,"Credit Union Of New Jersey, A",Ewing,NJ,08628,1301 Parkway Ave,$250M-$1B,512.8,3,38,weak_efficiency; near_500m_audit; capital_building,10.271,0.454,0.927,1.421,89.69,3.683,0.971,9.882,39329,0.083
Credit Union,19401,Teg,Poughkeepsie,NY,12603,1 Commerce Street,$250M-$1B,506.5,2,33,weak_efficiency; near_500m_audit,8.993,0.189,0.518,0.881,87.584,2.031,0.682,8.901,35951,0.035
Credit Union,68465,Star One,Sunnyvale,CA,94088-3643,P.O. Box 3643,$3B+,9697.3,4,37,excess_capital; weak_profitability; near_10b_threshold; capital_building,14.061,0.911,0.131,0.071,80.473,0.245,0.047,2.101,134349,0.098
Credit Union,67190,Summit,Madison,WI,53708,Po Box 8046,$3B+,8522.2,4,64,funding_liquidity; near_10b_threshold; growth_accelerating; credit_turning,10.344,0.402,0.652,0.535,100.854,2.513,0.769,4.586,281962,0.094
Credit Union,24382,Credit Human,San Antonio,TX,78215,1703 Broadway,$3B+,4343.0,3,30,weak_efficiency; funding_liquidity; weak_profitability,7.353,0.018,1.09,1.402,108.04,0.216,0.041,7.596,259260,-0.009
Credit Union,1040,Capital Educators,Meridian,ID,83680,P.O. Box 570,$1B-$3B,1354.4,4,46,weak_efficiency; funding_liquidity; weak_profitability; credit_turning,8.407,0.061,1.027,1.418,100.955,0.58,0.11,8.202,99861,-0.104
Credit Union,9986,Rev,Charleston,SC,29423,Po Box 118000,$1B-$3B,1238.0,4,35,excess_capital; weak_efficiency; funding_liquidity; capital_building,13.748,0.858,0.567,0.472,106.301,0.888,0.203,8.823,66744,0.083
Credit Union,64778,Canvas,Lone Tree,CO,80124,9990 Park Meadows Drive,$3B+,5291.6,4,60,credit_deterioration; funding_liquidity; growth_accelerating; credit_turning,9.532,0.225,1.135,2.312,102.358,1.767,0.503,6.249,335110,0.095
Credit Union,1682,Liberty,Evansville,IN,47715-1967,4401 Theater Dr,$3B+,4837.9,3,44,funding_liquidity; rapid_growth; growth_accelerating,10.923,0.556,0.448,0.157,100.319,2.906,0.87,6.542,264855,0.103
Credit Union,66373,Whatcom Educational,Bellingham,WA,98227,Po Box 9750,$3B+,3397.5,4,60,funding_liquidity; rapid_growth; growth_accelerating; credit_turning,11.214,0.609,0.69,1.207,100.636,1.343,0.284,5.886,170493,0.112
Credit Union,5754,Andrews Federal Credit Union,Suitland,MD,20746,5711 Allentown Rd,$1B-$3B,2688.3,4,49,credit_deterioration; funding_liquidity; credit_turning; capital_building,10.622,0.445,1.505,0.659,102.305,0.822,0.184,5.984,162195,0.078
Credit Union,7361,Blue,Cheyenne,WY,82001,2401 E. Pershing Blvd,$1B-$3B,2309.6,3,44,credit_deterioration; funding_liquidity; credit_turning,8.25,0.048,1.046,2.123,106.206,1.03,0.242,6.502,144288,0.079
Credit Union,24034,Notre Dame,Notre Dame,IN,46556,P.O. Box 7878,$1B-$3B,1388.4,3,44,funding_liquidity; rapid_growth; credit_turning,11.003,0.526,0.595,0.643,100.074,1.515,0.487,7.788,70705,0.117
Credit Union,22128,Service 1st,Danville,PA,17821,"1985 Montour Blvd, Po Box 159",$250M-$1B,837.1,3,33,funding_liquidity; rapid_growth; capital_building,11.103,0.593,0.489,0.922,98.319,2.193,0.729,7.185,52842,0.121
Credit Union,9164,Carter,Springhill,LA,71075,Po Box 814,$250M-$1B,762.9,3,44,credit_deterioration; funding_liquidity; credit_turning,8.603,0.129,3.665,1.572,100.735,1.292,0.436,6.555,31384,0.014
Credit Union,64482,Uncle,Livermore,CA,94551-7301,2100 Las Positas Ct,$250M-$1B,716.1,3,44,credit_deterioration; funding_liquidity; credit_turning,8.28,0.089,0.598,2.225,94.783,0.584,0.171,7.982,36258,-0.075
Credit Union,67972,Resound,Nashville,TN,37212-0729,P.O. Box 120729,$250M-$1B,704.4,4,60,funding_liquidity; rapid_growth; growth_accelerating; credit_turning,10.614,0.514,0.685,0.797,95.858,2.172,0.718,6.198,50396,0.102
Credit Union,66983,Co-op,Black River Fal,WI,54615,Po Box 157,$250M-$1B,626.8,2,28,funding_liquidity; near_500m_audit,11.546,0.639,0.803,0.103,95.128,2.241,0.746,4.333,23862,0.098
Credit Union,19448,U. T.,Knoxville,TN,37950,P.O. Box 51848,$250M-$1B,553.9,2,28,funding_liquidity; near_500m_audit,9.683,0.318,0.188,0.568,95.164,0.903,0.279,7.17,25540,0.036
Credit Union,60721,Champion,Canton,NC,28716,Po Box 1389,$250M-$1B,551.9,3,33,funding_liquidity; near_500m_audit; capital_building,12.201,0.736,0.242,0.612,95.246,1.611,0.543,7.634,36206,-0.005
Credit Union,63133,University,Orono,ME,04473,15 Main St,$250M-$1B,538.5,2,28,funding_liquidity; near_500m_audit,9.367,0.261,0.608,0.346,100.111,1.082,0.354,8.158,29888,0.053
Credit Union,65378,Mid American,Wichita,KS,67209-1845,8404 W Kellogg Dr,$250M-$1B,531.9,3,44,funding_liquidity; near_500m_audit; growth_accelerating,8.941,0.186,0.471,1.101,110.589,1.328,0.45,7.015,47426,0.075
Credit Union,68579,Patelco,Dublin,CA,94568,3 Park Pl,$3B+,9770.0,3,43,weak_profitability; near_10b_threshold; credit_turning,10.492,0.444,1.031,1.164,86.278,0.814,0.142,4.674,542150,0.039
Credit Union,1999,Logix,Valencia,CA,91355-6019,27918 Franklin Pkwy,$3B+,9687.8,4,48,excess_capital; near_10b_threshold; credit_turning; capital_building,15.668,0.976,1.082,0.819,95.438,1.83,0.521,4.356,246291,0.011
Credit Union,61004,San Diego County,San Diego,CA,92121,6545 Sequence Dr,$3B+,9546.2,3,32,excess_capital; near_10b_threshold; capital_building,19.824,1.0,0.197,0.189,65.871,1.084,0.231,4.508,403306,0.026
Credit Union,62745,Onpoint Community,Portland,OR,97208,Po Box 3750,$3B+,9532.8,4,48,excess_capital; near_10b_threshold; credit_turning; capital_building,15.004,0.964,0.976,0.834,79.986,2.81,0.852,6.818,661823,-0.003
Credit Union,6694,Members 1st,Enola,PA,17025,5000 Marketplace Way,$3B+,8661.0,4,48,excess_capital; near_10b_threshold; credit_turning; capital_building,14.797,0.953,0.73,1.16,96.157,4.759,1.0,6.167,634162,0.045
Credit Union,61552,University Of Michigan,Ann Arbor,MI,48107,Po Box 7850,$1B-$3B,1454.0,4,46,weak_efficiency; funding_liquidity; credit_turning; capital_building,11.077,0.552,0.819,1.25,103.298,0.816,0.177,8.603,121042,0.042
Credit Union,2658,First Source,New Hartford,NY,13413-6207,4451 Commercial Dr,$1B-$3B,1120.7,2,25,weak_efficiency; funding_liquidity,10.159,0.348,1.034,1.617,105.864,1.702,0.584,8.322,64681,0.04
Credit Union,65078,Community Choice,Johnston,IA,50131,6163 Nw 86Th St,$250M-$1B,922.9,4,46,weak_efficiency; funding_liquidity; growth_accelerating; capital_building,12.739,0.779,0.57,0.613,94.939,3.057,0.918,9.534,53683,0.061
Credit Union,9373,"America's Credit Union, A",Dupont,WA,98327-5060,P.O. Box 5060,$250M-$1B,709.5,3,30,weak_efficiency; funding_liquidity; capital_building,10.621,0.518,0.317,0.651,99.044,1.131,0.371,8.514,29338,0.021
Credit Union,8111,Randolph-brooks,Universal City,TX,78148-2097,P.O. Box 2097,$3B+,19565.1,4,44,excess_capital; credit_deterioration; credit_turning; capital_building,13.418,0.87,1.267,1.522,82.375,2.948,0.888,5.263,1152532,0.046
Credit Union,24563,Esl,Rochester,NY,14604,225 Chestnut St,$3B+,10803.2,3,39,excess_capital; rapid_growth; growth_accelerating,16.401,0.982,0.905,1.661,74.239,4.522,0.994,5.145,485535,0.122
Credit Union,67928,Eecu,Fort Worth,TX,76102,1617 W 7Th St,$3B+,4875.0,3,28,excess_capital; rapid_growth; capital_building,12.696,0.822,0.451,0.556,93.094,3.202,0.935,3.935,307364,0.116
Credit Union,67390,Georgia's Own,Atlanta,GA,30348,P.O. Box 105205,$3B+,4217.5,3,39,credit_deterioration; weak_profitability; credit_turning,9.986,0.325,1.149,5.677,88.255,-2.238,0.012,6.667,240275,-0.017
Credit Union,66538,Connexus,Wausau,WI,54402,Po Box 8026,$3B+,4135.7,3,39,credit_deterioration; weak_profitability; credit_turning,7.201,0.012,1.892,4.047,91.261,0.124,0.03,6.063,417271,0.06
Credit Union,68428,Premier America,Chatsworth,CA,91311-6532,19867 Prairie St,$3B+,3319.4,2,23,credit_deterioration; weak_profitability,9.433,0.207,1.797,0.83,87.12,-1.251,0.018,6.202,124777,-0.0
Credit Union,1520,Tennessee Valley,Chattanooga,TN,37422-3967,Po Box 23967,$3B+,3258.1,4,44,excess_capital; rapid_growth; credit_turning; capital_building,14.749,0.947,0.77,0.615,87.748,3.019,0.905,6.414,181021,0.109
Credit Union,159,Three Rivers,Fort Wayne,IN,46801,Po Box 2573,$1B-$3B,2929.4,3,39,excess_capital; credit_deterioration; credit_turning,13.256,0.803,1.47,0.857,86.369,3.832,0.987,6.898,139191,0.08
Credit Union,24887,Ttcu,Tulsa,OK,74159-0999,Po Box 4999,$1B-$3B,2706.2,3,39,excess_capital; credit_deterioration; credit_turning,13.447,0.832,1.488,2.699,55.089,1.816,0.648,6.14,147634,0.055
Credit Union,7531,Hughes,Tucson,AZ,85734,Po Box 11900,$1B-$3B,2599.4,3,39,credit_deterioration; weak_profitability; credit_turning,8.862,0.094,2.276,5.709,88.849,0.239,0.061,6.229,191474,0.011
Credit Union,68576,Kitsap,Bremerton,WA,98337-5606,Po Box 990,$1B-$3B,2507.0,4,55,credit_deterioration; weak_profitability; growth_accelerating; credit_turning,8.348,0.055,0.787,2.695,88.727,0.642,0.132,6.934,166096,0.069
Credit Union,619,Lafayette,Rockville,MD,20852,2701 Tower Oaks Blvd,$1B-$3B,2078.7,3,39,credit_deterioration; weak_profitability; credit_turning,12.441,0.716,2.331,8.75,54.2,0.212,0.055,5.525,56729,0.034
Credit Union,68665,"Superior Credit Union, Inc",Lima,OH,45807,4230 Elida Rd,$1B-$3B,1964.1,4,44,excess_capital; rapid_growth; growth_accelerating; capital_building,15.203,0.903,0.196,0.049,76.503,3.685,0.984,5.015,101536,0.106
Credit Union,24957,Coasthills,Santa Maria,CA,93456,P. O. Box 8000,$1B-$3B,1766.2,3,39,credit_deterioration; weak_profitability; credit_turning,7.997,0.032,0.669,2.774,88.393,-0.038,0.026,7.393,84724,-0.005
Credit Union,24292,Northrop Grumman,Gardena,CA,90247,P.O. Box 47009,$1B-$3B,1645.4,3,39,credit_deterioration; weak_profitability; credit_turning,9.006,0.103,1.617,1.388,55.794,0.41,0.077,6.354,83767,0.031
Credit Union,24542,San Francisco,San Francisco,CA,94102-3120,770 Golden Gate Avenue,$1B-$3B,1627.9,4,44,excess_capital; rapid_growth; growth_accelerating; capital_building,13.287,0.813,0.152,0.265,69.142,2.249,0.794,5.265,52101,0.128
Credit Union,62969,Collins Community,Cedar Rapids,IA,52410-0500,P. O. Box 10500,$1B-$3B,1527.3,3,39,credit_deterioration; weak_profitability; credit_turning,7.778,0.013,2.474,0.652,85.543,-0.347,0.016,6.174,81267,-0.032
Credit Union,624,United States Senate,Alexandria,VA,22314-1691,1310 Braddock Pl,$1B-$3B,1486.8,3,39,credit_deterioration; weak_profitability; credit_turning,7.882,0.023,1.629,1.93,79.85,0.377,0.074,5.527,52712,-0.018
Credit Union,24824,S. C. State,Columbia,SC,29202,P.O. Box 726,$1B-$3B,1470.2,4,44,excess_capital; credit_deterioration; credit_turning; capital_building,15.566,0.919,0.821,2.012,70.197,4.121,0.994,6.357,94160,0.055
Credit Union,24931,Park,Louisville,KY,40299-2465,2515 Blankenbaker Pkwy,$1B-$3B,1429.8,4,44,excess_capital; credit_deterioration; credit_turning; capital_building,17.86,0.968,2.004,3.136,97.134,0.807,0.174,6.751,82105,0.05
Credit Union,68415,Southland,Los Alamitos,CA,90720-1303,P. O. Box 3003,$1B-$3B,1308.2,2,23,credit_deterioration; weak_profitability,8.511,0.065,1.478,1.297,82.707,0.645,0.135,6.054,70143,0.032
Credit Union,7835,Rize,El Monte,CA,91734-2317,Po Box 8017,$1B-$3B,1293.7,4,44,credit_deterioration; weak_profitability; credit_turning; capital_building,10.386,0.381,0.888,2.257,97.22,-0.561,0.006,7.858,87161,0.039
Credit Union,68302,Five Star,Dothan,AL,36302-2028,Po Box 2028,$1B-$3B,1261.2,3,39,excess_capital; credit_deterioration; credit_turning,13.822,0.865,1.501,1.059,79.2,2.171,0.765,7.928,68823,0.037
Credit Union,67208,Westby Co-op,Westby,WI,54667,P O Box 70,$1B-$3B,1023.9,3,39,excess_capital; credit_deterioration; credit_turning,15.635,0.923,1.435,0.471,83.764,2.457,0.855,6.058,41714,0.057
Credit Union,63932,1st Midamerica,Bethalto,IL,62010,731 E Bethalto Dr,$1B-$3B,1014.1,3,28,excess_capital; credit_deterioration; capital_building,13.335,0.816,2.012,0.516,98.869,2.431,0.842,7.737,64586,-0.02
Credit Union,5612,Altaone,Ridgecrest,CA,93556,Po Box 1209,$250M-$1B,967.2,2,23,credit_deterioration; weak_profitability,9.192,0.232,0.703,1.996,87.243,0.334,0.082,7.192,53422,0.016
Credit Union,24812,Westreet,Tulsa,OK,74101,Po Box 267,$250M-$1B,966.8,3,39,credit_deterioration; weak_profitability; credit_turning,9.554,0.286,2.768,1.3,84.417,0.341,0.089,7.728,61218,0.014
Credit Union,68223,Qualstar,Bothell,WA,98041-3050,Po Box 3050,$250M-$1B,939.3,4,44,excess_capital; credit_deterioration; credit_turning; capital_building,16.028,0.95,1.41,2.969,73.231,2.795,0.875,5.116,62877,0.075
Credit Union,9230,Certified,El Monte,CA,91731,4455 Arden Dr,$250M-$1B,925.3,3,28,excess_capital; credit_deterioration; capital_building,20.71,0.993,0.369,1.945,80.859,2.486,0.825,6.85,58130,0.033
Credit Union,9296,Sun Community,El Centro,CA,92243-2315,1068 Broadway Ave,$250M-$1B,895.6,4,44,credit_deterioration; weak_profitability; credit_turning; capital_building,8.397,0.107,0.247,3.461,84.311,-0.508,0.018,8.341,56001,0.089
Credit Union,18336,Communitywide,South Bend,IN,46619-3742,1555 W Western Ave,$250M-$1B,873.9,3,39,excess_capital; credit_deterioration; credit_turning,13.158,0.814,2.452,5.094,82.002,1.304,0.446,4.324,68779,0.031
Credit Union,24963,First South Financial,Bartlett,TN,38134,2723 Summer Oaks Dr,$250M-$1B,844.8,2,23,excess_capital; credit_deterioration,30.229,1.0,0.223,1.817,82.991,3.941,0.975,6.837,72208,0.053
Credit Union,68444,First,Chandler,AZ,85225,25 S Arizona Pl Ste 111,$250M-$1B,811.6,4,44,credit_deterioration; weak_profitability; credit_turning; capital_building,9.103,0.207,0.534,2.486,75.113,0.489,0.136,7.341,44684,0.059
Credit Union,14568,LA Capitol,Baton Rouge,LA,70821-3398,P.O. Box 3398,$250M-$1B,798.4,3,39,excess_capital; credit_deterioration; credit_turning,13.103,0.811,1.426,2.229,89.671,1.689,0.579,7.728,51535,0.028
Credit Union,68517,Verity,Seattle,WA,98133,11027 Meridian Ave N,$250M-$1B,786.5,3,39,credit_deterioration; weak_profitability; credit_turning,9.173,0.229,1.907,1.158,86.341,0.341,0.086,7.826,34368,0.022
Credit Union,66824,Freedom,Springfield,MA,01101-3009,Po Box 3009,$250M-$1B,764.0,3,39,excess_capital; credit_deterioration; credit_turning,14.261,0.886,1.812,0.103,84.637,1.148,0.379,6.577,31456,0.035
Credit Union,10866,Kinetic,Columbus,GA,31908-0818,P.O. Box 9818,$250M-$1B,664.6,4,44,excess_capital; credit_deterioration; credit_turning; capital_building,14.083,0.871,1.55,2.281,78.28,0.62,0.179,7.619,44849,0.081
Credit Union,66365,Align,Lowell,MA,01851,87 Hale St,$250M-$1B,650.9,3,39,credit_deterioration; weak_profitability; credit_turning,8.672,0.143,1.455,0.28,74.817,-0.905,0.007,7.242,26942,-0.002
Credit Union,67344,Insight,Winter Springs,FL,32708,270 Winding Hollow Blvd,$250M-$1B,629.1,4,44,weak_profitability; near_500m_audit; credit_turning; capital_building,10.148,0.421,1.133,1.412,65.183,-0.021,0.029,7.683,41917,-0.078
Credit Union,61741,Commonwealth Central,San Jose,CA,95138,5890 Silver Creek Valley Rd,$250M-$1B,624.9,3,28,excess_capital; near_500m_audit; capital_building,14.228,0.882,0.408,1.222,81.453,1.401,0.471,7.501,37635,0.013
Credit Union,61089,Homeland,Chillicothe,OH,45601,P O Box 1974,$250M-$1B,624.2,3,39,excess_capital; near_500m_audit; credit_turning,15.791,0.946,1.105,1.774,30.452,1.869,0.629,4.242,25697,0.048
Credit Union,67668,Floridacentral,Tampa,FL,33679-8605,P.O. Box 18605,$250M-$1B,621.8,2,23,weak_profitability; near_500m_audit,7.831,0.046,0.686,1.216,69.043,0.352,0.096,7.602,44253,0.022
Credit Union,62665,Central Willamette,Albany,OR,97321,Po Box 1899,$250M-$1B,617.6,4,44,excess_capital; near_500m_audit; credit_turning; capital_building,14.386,0.889,1.018,1.715,83.362,2.053,0.689,8.425,37367,0.023
Credit Union,68441,Excite,San Jose,CA,95125,265 Curtner Avenue,$250M-$1B,613.8,3,39,weak_profitability; near_500m_audit; credit_turning,6.895,0.014,0.54,1.754,80.355,0.055,0.043,8.319,42010,0.004
Credit Union,67611,Educators,Waco,TX,76702,P O Box 20728,$250M-$1B,609.5,3,28,excess_capital; near_500m_audit; capital_building,20.325,0.989,0.173,0.056,28.405,4.601,0.979,2.455,27329,0.052
Credit Union,15146,Dugood,Beaumont,TX,77726,Po Box 12899,$250M-$1B,609.4,3,28,excess_capital; near_500m_audit; capital_building,13.373,0.836,0.086,0.388,80.31,2.823,0.886,5.825,37923,0.074
Credit Union,61231,Financial Plus,Ottawa,IL,61350,800 Chestnut St.,$250M-$1B,607.4,2,23,excess_capital; near_500m_audit,13.24,0.821,0.452,0.755,75.976,2.956,0.911,7.275,46216,0.098
Credit Union,68572,Via Credit Union,Marion,IN,46953-5351,4505 S Adams St,$250M-$1B,604.4,4,44,excess_capital; near_500m_audit; credit_turning; capital_building,13.182,0.818,0.622,0.911,87.366,1.737,0.596,5.075,37548,0.045
Credit Union,60666,Sovita,Flint,MI,48532,Po Box 320830,$250M-$1B,592.0,3,28,excess_capital; near_500m_audit; capital_building,16.095,0.954,0.314,0.18,27.548,2.216,0.736,4.011,17583,0.063
Credit Union,68666,Transcend,Louisville,KY,40261-0303,P. O. Box 18303,$250M-$1B,588.3,2,23,excess_capital; near_500m_audit,13.368,0.832,0.129,0.357,90.998,2.385,0.811,5.554,50984,0.045
Credit Union,64441,Heartland,Springfield,IL,62704-6498,2213 W White Oaks Dr,$250M-$1B,573.7,3,28,excess_capital; near_500m_audit; capital_building,13.744,0.861,0.249,0.488,78.875,3.562,0.957,5.014,35845,0.086
Credit Union,7573,Arlington Community,Arlington,VA,22204-7070,Po Box 40070,$250M-$1B,537.8,2,23,weak_profitability; near_500m_audit,7.947,0.064,0.435,0.713,94.552,0.446,0.114,8.079,26132,0.016
Credit Union,8475,Otero,Alamogordo,NM,88311-2800,P.O. Box 2800,$250M-$1B,535.3,3,28,excess_capital; near_500m_audit; capital_building,15.538,0.939,0.257,1.159,55.548,3.445,0.95,5.572,33764,0.059
Credit Union,10933,Servu,Painted Post,NY,14870-1006,87 Victory Hwy,$250M-$1B,529.2,4,44,excess_capital; near_500m_audit; credit_turning; capital_building,14.831,0.918,0.469,0.393,86.132,2.795,0.879,6.761,43851,0.06
Credit Union,63757,Liberty First,Lincoln,NE,68503-3718,501 North 46Th,$250M-$1B,523.4,4,44,excess_capital; near_500m_audit; credit_turning; capital_building,15.077,0.929,0.79,0.51,91.375,3.508,0.954,8.247,36060,0.026
Credit Union,23494,Carolinas Telco,Charlotte,NC,28266,Po Box 668467,$250M-$1B,506.3,4,44,excess_capital; near_500m_audit; credit_turning; capital_building,15.061,0.921,0.907,1.135,69.505,1.05,0.336,7.023,31584,0.002
Credit Union,24202,Telcoe,Little Rock,AR,72203,Po Box 34200,$250M-$1B,503.4,2,23,excess_capital; near_500m_audit,20.213,0.986,0.117,0.049,37.009,1.608,0.539,2.59,23699,0.038
Credit Union,68713,Desert Financial,Phoenix,AZ,85034,148 N 48Th St,$3B+,9887.8,2,27,near_10b_threshold; capital_building,11.748,0.692,0.466,0.578,59.911,2.216,0.639,6.261,517794,0.09
Credit Union,64131,Pennsylvania State Employees,Harrisburg,PA,17106,Po Box 67013,$3B+,9653.7,3,43,near_10b_threshold; credit_turning; capital_building,11.852,0.716,0.754,1.671,83.999,3.952,0.988,4.726,547167,0.072
Credit Union,23957,American Airlines,Fort Worth,TX,76155,14050 Faa Blvd,$3B+,9496.0,2,27,near_10b_threshold; capital_building,11.681,0.68,0.604,0.919,66.538,1.813,0.515,3.39,374627,0.026
Credit Union,51,Broadview,Albany,NY,12205-1121,4 Winners Circle,$3B+,9360.7,2,27,near_10b_threshold; capital_building,8.795,0.112,0.803,0.573,83.217,1.268,0.254,6.627,516899,0.027
Credit Union,67297,Space Coast,Melbourne,FL,32940-7920,8045 N Wickham Rd,$3B+,9151.0,1,22,near_10b_threshold,11.414,0.657,0.803,1.542,97.096,1.573,0.408,5.892,705088,-0.001
Credit Union,66357,Delta Community,Atlanta,GA,30339-6419,3250 Riverwood Pkwy Se,$3B+,9121.3,2,27,near_10b_threshold; capital_building,12.585,0.799,0.222,0.594,83.683,2.339,0.728,6.494,547012,0.032
Credit Union,68448,Citizens Equity First,Peoria,IL,61656-1715,Po Box 1715,$3B+,8500.0,3,43,near_10b_threshold; credit_turning; capital_building,11.645,0.669,0.956,1.425,87.416,2.667,0.799,4.364,423526,0.04
