INST_TYPE,CERT,NAME,CITY,STALP,ZIP,ADDRESS,asset_band,asset_musd,n_signals,score,signals,NW_RATIO,NW_RATIO_pct,DELINQ,NCO,LOAN_TO_SHARE,ROA,ROA_pct,EXP_RATIO,MEMBERS,asset_growth_yoy
Credit Union,24693,Goldenwest,Ogden,UT,84402,P O Box 1111,$3B+,4332.6,3,43,excess_capital; rapid_growth; bsa_aml_scaling,13.199,0.852,0.47,0.547,94.85,3.14,0.923,5.92,221793,0.157
Credit Union,65856,Oregon Community,Eugene,OR,97401,Po Box 77002,$3B+,3703.6,4,59,credit_deterioration; weak_efficiency; funding_liquidity; credit_turning,10.387,0.42,1.489,3.461,110.101,1.728,0.467,7.078,298481,0.018
Credit Union,66399,Harborstone,Tacoma,WA,98438,Po Box 4207,$3B+,3134.1,5,75,rapid_growth; weak_profitability; bsa_aml_scaling; growth_accelerating; credit_turning,9.341,0.195,1.078,1.671,93.506,0.102,0.024,6.832,121878,0.421
Credit Union,24964,Lighthouse,Dover,NH,03820,100 Lighthouse Dr,$1B-$3B,2220.7,3,43,weak_efficiency; funding_liquidity; rapid_growth,10.151,0.342,0.377,1.077,103.559,1.563,0.513,8.22,170052,0.121
Credit Union,9095,Hanscom,Hanscom Afb,MA,01731,1610 Eglin St,$1B-$3B,2176.3,6,80,rapid_growth; weak_profitability; bsa_aml_scaling; growth_accelerating; credit_turning; capital_building,10.466,0.403,0.508,0.305,87.128,0.668,0.142,6.839,97310,0.184
Credit Union,24688,Cyprus,West Jordan,UT,84084,Po Box 9002,$1B-$3B,2084.3,4,59,weak_efficiency; funding_liquidity; rapid_growth; growth_accelerating,12.422,0.713,0.405,1.401,104.077,1.306,0.377,8.201,163815,0.107
Credit Union,7217,Self Reliance Financial,New York,NY,10003-8302,108 2Nd Ave,$1B-$3B,2041.6,4,59,excess_capital; rapid_growth; bsa_aml_scaling; growth_accelerating,17.161,0.958,0.627,0.02,81.388,1.036,0.245,2.132,31640,0.415
Credit Union,7916,Neches,Port Neches,TX,77651,Po Box 1118,$1B-$3B,1229.4,4,59,excess_capital; rapid_growth; bsa_aml_scaling; growth_accelerating,14.657,0.897,0.199,0.941,87.998,4.272,0.997,7.397,83078,0.164
Credit Union,66752,Marine,La Crosse,WI,54601,300 2Nd St N Ste 400,$1B-$3B,1140.4,4,48,credit_deterioration; weak_efficiency; funding_liquidity; capital_building,12.191,0.681,2.259,1.0,106.167,1.609,0.539,11.843,75288,0.083
Credit Union,1409,Raiz,El Paso,TX,79936,12020 Rojas Dr,$1B-$3B,1094.4,3,43,credit_deterioration; weak_efficiency; funding_liquidity,10.208,0.358,0.948,2.233,100.975,2.102,0.748,8.781,78753,0.05
Credit Union,9292,Consolidated,Portland,OR,97232-2017,1033 Ne 6Th Ave,$250M-$1B,833.7,4,48,excess_capital; rapid_growth; bsa_aml_scaling; capital_building,15.315,0.936,0.269,0.116,75.323,2.264,0.754,5.708,38069,0.21
Credit Union,60059,O Bee,Lacey,WA,98509-5000,Po Box 5000,$250M-$1B,676.6,4,59,credit_deterioration; weak_efficiency; funding_liquidity; credit_turning,8.477,0.111,0.962,1.86,105.471,1.209,0.411,9.664,36634,0.062
Credit Union,23279,Michigan State University,East Lansing,MI,48823-8029,3777 West Rd,$3B+,8868.4,4,58,weak_efficiency; weak_profitability; near_10b_threshold; credit_turning,8.96,0.124,1.241,1.562,95.162,0.612,0.095,7.197,405979,0.076
Credit Union,7544,Redstone,Huntsville,AL,35893,220 Wynn Dr,$3B+,8590.6,5,63,excess_capital; weak_efficiency; near_10b_threshold; credit_turning; capital_building,13.863,0.888,0.699,1.926,49.325,2.753,0.817,7.377,539259,0.044
Credit Union,24984,Hudson Valley,Poughkeepsie,NY,12602-1071,P.O. Box 1071,$3B+,8052.1,3,42,weak_efficiency; weak_profitability; near_10b_threshold,10.556,0.45,0.596,1.095,70.069,0.273,0.053,7.484,391041,
Credit Union,61637,Capital,Bismarck,ND,58502,Po Box 2096,$250M-$1B,921.5,4,57,excess_capital; credit_deterioration; rapid_growth; credit_turning,13.087,0.807,1.796,0.285,94.255,2.434,0.821,6.84,32946,0.107
Credit Union,24421,Legacy Community,Birmingham,AL,35242-2994,100 Corporate Rdg Ste 200,$250M-$1B,727.2,6,78,excess_capital; credit_deterioration; rapid_growth; growth_accelerating; credit_turning; capital_building,13.281,0.825,1.638,0.611,67.585,1.686,0.571,6.299,39234,0.118
Credit Union,21751,Fedex Employees Credit Association,Memphis,TN,38132-2110,2731 S Nonconnah Blvd,$250M-$1B,641.1,5,62,excess_capital; credit_deterioration; near_500m_audit; credit_turning; capital_building,14.153,0.875,1.039,2.338,54.829,1.138,0.375,7.498,97220,0.026
Credit Union,2769,Securityplus,Baltimore,MD,21244,7135 Windsor Blvd,$250M-$1B,596.9,5,62,credit_deterioration; weak_profitability; near_500m_audit; credit_turning; capital_building,10.347,0.468,1.452,1.25,84.156,0.279,0.071,7.65,35966,0.034
Credit Union,24250,I-c,Fitchburg,MA,01420,300 Bemis Rd,$250M-$1B,583.0,4,57,rapid_growth; weak_profitability; near_500m_audit; credit_turning,8.235,0.082,0.938,0.912,88.237,-0.534,0.014,7.119,37756,0.106
Credit Union,5380,Spectra,Alexandria,VA,22312,5440 Cherokee Ave Ste 200,$250M-$1B,544.4,4,57,credit_deterioration; weak_profitability; near_500m_audit; credit_turning,8.674,0.146,1.855,1.171,73.59,0.032,0.036,6.642,31519,-0.08
Credit Union,61758,Western Cooperative,Williston,ND,58802-2237,Po Box 2237,$250M-$1B,522.2,5,62,excess_capital; credit_deterioration; near_500m_audit; credit_turning; capital_building,14.204,0.879,3.168,0.108,52.613,2.531,0.832,5.526,18383,0.058
Credit Union,8116,Teachers,Smithtown,NY,11787,Po Box 9005,$3B+,9915.4,3,56,credit_deterioration; near_10b_threshold; credit_turning,11.027,0.586,1.193,2.234,70.907,1.773,0.509,4.676,486565,0.004
Credit Union,66328,"Wright-patt Credit Union, Inc.",Beavercreek,OH,45431,3560 Pentagon Blvd,$3B+,9548.7,3,56,credit_deterioration; near_10b_threshold; credit_turning,11.323,0.651,1.095,2.143,83.698,2.272,0.657,5.935,527080,0.021
Credit Union,68437,Bellco,Greenwood Villa,CO,80111,"7600 E Orchard Rd, Ste 400N",$3B+,8549.0,2,40,credit_deterioration; near_10b_threshold,10.248,0.391,1.474,0.84,98.287,1.437,0.32,4.009,360569,0.002
Credit Union,24063,Founders,Lancaster,SC,29720,737 Plantation Rd,$3B+,5204.6,4,54,excess_capital; credit_deterioration; weak_efficiency; credit_turning,13.616,0.876,0.682,2.143,94.23,2.85,0.864,7.375,294048,0.067
Credit Union,60042,Washington State Employees,Olympia,WA,98507,Po Box Wsecu,$3B+,5088.8,4,54,credit_deterioration; weak_efficiency; weak_profitability; credit_turning,9.89,0.302,0.797,2.334,86.181,0.499,0.077,8.01,323382,-0.006
Credit Union,68271,Peak,Olympia,WA,98507,Po Box 718,$3B+,4247.2,5,59,credit_deterioration; weak_efficiency; weak_profitability; credit_turning; capital_building,11.315,0.639,1.22,2.828,91.895,0.57,0.089,7.954,267643,-0.011
Credit Union,196,Gte,Tampa,FL,33602,711 E Henderson Ave,$3B+,3117.2,5,59,credit_deterioration; weak_efficiency; weak_profitability; credit_turning; capital_building,10.85,0.538,1.078,2.07,99.389,0.496,0.071,8.355,232246,0.07
Credit Union,66327,Credit Union Of Texas,Allen,TX,75013-1305,P.O. Box 7000,$1B-$3B,2643.2,4,54,credit_deterioration; weak_efficiency; weak_profitability; credit_turning,8.13,0.045,1.592,2.638,87.502,0.109,0.039,10.308,183580,0.005
Credit Union,1941,Shell,Deer Park,TX,77536,Po Box 578,$1B-$3B,2051.7,6,75,excess_capital; credit_deterioration; weak_efficiency; growth_accelerating; credit_turning; capital_building,13.392,0.826,0.71,2.101,89.421,2.797,0.897,9.306,165469,0.076
Credit Union,68631,Orsa,Plymouth,MI,48170-1759,Po Box 8050,$1B-$3B,1473.3,4,54,credit_deterioration; weak_efficiency; weak_profitability; credit_turning,9.814,0.252,1.518,1.245,98.61,0.07,0.032,9.41,86714,-0.018
Credit Union,808,U.s. Eagle,Albuquerque,NM,87103,P.O. Box 129,$1B-$3B,1458.6,4,54,credit_deterioration; weak_efficiency; weak_profitability; credit_turning,7.799,0.016,6.91,2.129,78.971,-2.75,0.003,10.146,98817,-0.012
Credit Union,62848,Telhio,Columbus,OH,43216,Po Box 1298,$1B-$3B,1352.6,4,54,credit_deterioration; weak_efficiency; weak_profitability; credit_turning,9.645,0.219,2.012,0.724,93.231,0.17,0.042,8.379,68461,-0.013
Credit Union,66787,Municipal Empl.credit Union Of Balt,Baltimore,MD,21202,1 South St,$1B-$3B,1268.0,4,43,credit_deterioration; weak_efficiency; weak_profitability; capital_building,12.841,0.768,1.657,1.92,75.777,0.553,0.097,8.25,91110,0.01
Credit Union,68510,Community 1st,Ottumwa,IA,52501,1100 Hutchinson Ave,$1B-$3B,1104.8,5,59,credit_deterioration; weak_efficiency; weak_profitability; credit_turning; capital_building,10.501,0.413,3.142,2.091,93.403,0.616,0.126,8.451,72622,0.049
Credit Union,13605,Abnb,Chesapeake,VA,23320-2624,830 Greenbrier Cir,$250M-$1B,914.3,3,38,credit_deterioration; weak_efficiency; weak_profitability,7.951,0.068,0.611,2.868,88.619,0.069,0.046,9.542,75907,-0.033
Credit Union,62710,Pelican,Baton Rouge,LA,70835,P.O. Box 40088,$250M-$1B,885.2,4,54,credit_deterioration; weak_efficiency; weak_profitability; credit_turning,8.234,0.079,1.544,4.637,93.543,-0.445,0.021,15.446,90892,0.091
Credit Union,24989,Northern,Watertown,NY,13601-1958,138 Factory St,$250M-$1B,698.2,3,38,credit_deterioration; weak_efficiency; weak_profitability,10.195,0.436,1.317,0.659,91.45,0.299,0.079,10.459,45532,
Credit Union,65595,American 1,Jackson,MI,49201,718 E Michigan Ave,$250M-$1B,661.3,4,54,excess_capital; credit_deterioration; weak_efficiency; credit_turning,15.583,0.943,2.074,5.239,83.818,1.053,0.339,12.456,67470,-0.007
Credit Union,61159,Security,Grand Blanc,MI,48480-5255,P.O. Box 5255,$250M-$1B,653.2,5,59,credit_deterioration; weak_efficiency; weak_profitability; credit_turning; capital_building,9.767,0.339,0.798,1.84,88.046,0.535,0.146,9.586,53797,0.031
Credit Union,68682,My Community,Midland,TX,79701-1610,600 W Louisiana Ave,$250M-$1B,555.3,5,70,weak_efficiency; weak_profitability; near_500m_audit; growth_accelerating; credit_turning,10.29,0.461,1.236,1.723,93.181,0.541,0.15,11.77,44054,0.033
Credit Union,24948,Mutual,Vicksburg,MS,39181,Po Box 25,$250M-$1B,528.5,3,38,excess_capital; weak_efficiency; near_500m_audit,13.436,0.843,1.078,1.707,64.086,3.38,0.932,8.77,42917,0.085
Credit Union,61048,"Oucu Financial Credit Union, Inc.",Athens,OH,45701,944 E State St,$250M-$1B,526.8,5,59,weak_efficiency; weak_profitability; near_500m_audit; credit_turning; capital_building,11.488,0.621,1.175,0.897,91.137,-0.643,0.011,10.842,26348,0.012
Credit Union,2226,Sunwest,Glendale,AZ,85305-2224,5323 N 99Th Ave Ste 220,$250M-$1B,525.2,4,54,weak_efficiency; weak_profitability; near_500m_audit; credit_turning,10.973,0.575,0.478,1.134,74.42,0.38,0.107,8.954,43875,0.001
Credit Union,60239,Memphis City Employees,Memphis,TN,38115,2686 Mount Moriah Ter,$250M-$1B,502.5,3,38,excess_capital; weak_efficiency; near_500m_audit,14.475,0.893,0.625,1.098,63.053,1.095,0.361,9.286,44232,0.049
Credit Union,62514,Lake Michigan,Grand Rapids,MI,49501,Po Box 2848,$3B+,17260.7,3,54,rapid_growth; bsa_aml_scaling; growth_accelerating,11.268,0.621,0.35,0.328,92.756,2.36,0.74,4.463,536976,0.162
Credit Union,5797,Ornl,Oak Ridge,TN,37831,P.O. Box 365,$3B+,4972.2,2,38,rapid_growth; bsa_aml_scaling,11.008,0.574,0.623,1.452,98.83,2.299,0.675,5.552,234790,0.142
Credit Union,61315,Oneaz,Phoenix,AZ,85027-1261,2355 W Pinnacle Peak Rd,$3B+,4476.3,4,59,rapid_growth; bsa_aml_scaling; growth_accelerating; capital_building,9.868,0.29,0.655,0.88,76.531,2.325,0.716,6.425,245580,0.242
Credit Union,68660,Rogue,Medford,OR,97501,P. O. Box 4550,$3B+,4334.0,4,70,rapid_growth; bsa_aml_scaling; growth_accelerating; credit_turning,10.372,0.408,0.954,1.425,71.141,1.906,0.562,6.923,245187,0.161
Credit Union,10709,Utah Community,Provo,UT,84604,360 W 4800 N,$3B+,4044.8,2,38,rapid_growth; bsa_aml_scaling,10.142,0.361,0.378,0.627,95.153,3.065,0.917,4.535,270676,0.13
Credit Union,67290,Community First Credit Union Of Flo,Jacksonville,FL,32204,637 North Lee Street,$3B+,3212.7,4,70,rapid_growth; bsa_aml_scaling; growth_accelerating; credit_turning,12.258,0.763,0.63,1.766,85.185,1.761,0.497,6.128,194282,0.144
Credit Union,68239,Hapo Community,Richland,WA,99354,601 Williams Blvd,$1B-$3B,2985.5,4,59,rapid_growth; bsa_aml_scaling; growth_accelerating; capital_building,11.198,0.561,0.183,1.013,83.836,3.124,0.939,7.308,213072,0.248
Credit Union,20042,Franklin Mint,Chadds Ford,PA,19317,"5 Hillman Dr, Ste 100",$1B-$3B,2204.6,3,54,rapid_growth; bsa_aml_scaling; growth_accelerating,8.093,0.042,0.826,0.734,80.014,0.765,0.168,6.956,165339,0.151
Credit Union,97068,Adelfi,San Dimas,CA,91773-9001,Po Box 9001,$1B-$3B,1421.3,5,75,rapid_growth; bsa_aml_scaling; growth_accelerating; credit_turning; capital_building,12.851,0.771,0.873,1.045,84.577,2.06,0.739,7.003,53733,0.606
Credit Union,68485,American First,Brea,CA,92821-6322,6 Pointe Dr Ste 400,$1B-$3B,1369.2,3,54,rapid_growth; bsa_aml_scaling; growth_accelerating,10.087,0.323,0.158,0.556,98.553,1.593,0.526,4.353,51105,0.292
Credit Union,1717,Hawaiian Financial,Honolulu,HI,96817,1138 N King St,$1B-$3B,1125.7,2,38,rapid_growth; bsa_aml_scaling,11.721,0.639,0.537,0.02,58.664,1.51,0.481,3.695,51589,0.132
Credit Union,68723,Radiant,Gainesville,FL,32606-6563,4440 Nw 25Th Pl,$1B-$3B,1121.4,3,54,rapid_growth; bsa_aml_scaling; growth_accelerating,9.501,0.2,0.472,1.254,75.286,1.174,0.316,7.699,60489,0.252
Credit Union,63805,Christian Financial,Sterling Height,MI,48312,35100 Van Dyke Ave,$1B-$3B,1118.6,3,54,rapid_growth; bsa_aml_scaling; growth_accelerating,9.926,0.287,0.455,0.288,82.999,1.399,0.429,7.238,61542,0.198
Credit Union,17117,R.i.a.,Rock Island,IL,61204-4750,Po Box 4750,$250M-$1B,749.1,2,38,rapid_growth; bsa_aml_scaling,8.725,0.154,0.7,1.501,74.112,0.725,0.218,7.373,46841,0.178
Credit Union,61090,Sharefax,Cincinnati,OH,45245,604 Ivy Gateway,$250M-$1B,720.8,4,70,rapid_growth; bsa_aml_scaling; growth_accelerating; credit_turning,9.821,0.357,1.114,0.645,80.589,1.185,0.4,6.432,41170,0.377
Credit Union,68502,Copper State,Phoenix,AZ,85053,15458 N 28Th Ave,$250M-$1B,700.8,4,70,rapid_growth; bsa_aml_scaling; growth_accelerating; credit_turning,9.717,0.332,0.527,1.038,80.305,0.809,0.25,7.762,47991,0.136
Credit Union,1148,Coreplus,Norwich,CT,06360,202 Salem Tpke,$250M-$1B,676.5,4,59,rapid_growth; bsa_aml_scaling; growth_accelerating; capital_building,10.956,0.571,0.389,0.523,92.47,2.808,0.882,6.738,50091,0.902
Credit Union,68645,Suncoast,Tampa,FL,33610,6536 E Hillsborough Ave,$3B+,20779.0,5,73,credit_deterioration; rapid_growth; growth_accelerating; credit_turning; capital_building,10.119,0.349,0.919,2.688,88.751,1.74,0.479,4.851,1408203,0.1
