metric,t-1,t-2,t-3,t-4,t-5,t-6,t-7,t-8,n_at_t-1
Noncurrent assets/assets,64.4,66.7,66.3,65.8,64.7,63.7,61.3,62.9,58
Net charge-offs/loans,63.0,66.0,66.5,65.7,63.8,63.1,60.6,63.4,58
Efficiency ratio,69.7,69.2,68.7,64.1,60.8,61.5,64.1,59.4,58
Brokered deposits/deposits,61.4,61.1,60.0,57.0,55.8,56.6,54.1,54.3,58
Asset growth (YoY),51.6,48.6,50.7,57.0,54.7,50.7,47.8,44.9,56
Equity/assets (capital),55.0,55.4,53.6,52.3,52.4,56.4,55.5,55.6,58
ROA,70.9,68.0,68.4,64.6,60.9,57.4,61.3,57.3,58
